wellName,DEPTH,CGR,CPERM,CPHI,DT,DTSM,Facies,GR,MSFL,NPHI,PEF,Perm_Buckles_UpAs,PHIE,RHOB,RT,SWE,ZONE_NAME,net_gross
A-18-00,854.838,33.3387,-9999,0.217099991,85.6341,165.6585,5,60.8699,1.41486,0.243268,3.301641,2.389598,0.2459812,2.39639,1.94776,0.4798197,U.Asmari,gross
A-18-00,854.991,31.8319,-9999,-9999,84.5443,163.3971,5,61.0284,1.92803,0.221863,3.413864,56.83973,0.2471983,2.37743,2.86286,0.3946409,U.Asmari,gross
A-18-00,855.143,31.2787,-9999,-9999,84.3297,159.8983,5,64.0745,2.67734,0.208961,3.54792,59.1171,0.2498648,2.35985,4.06384,0.3280104,U.Asmari,gross
A-18-00,855.296,33.0797,-9999,0.255100002,85.7045,156.5015,5,69.185,2.70801,0.208688,3.651563,62.48366,0.2536612,2.34645,3.77188,0.3347192,U.Asmari,net
A-18-00,855.448,37.0908,-9999,0.202299995,87.5035,155.5635,5,73.8736,2.21649,0.213498,3.707508,63.17,0.2544151,2.34135,2.79335,0.3858481,U.Asmari,net
A-18-00,855.6,41.3203,-9999,-9999,88.1641,157.6147,5,76.2622,1.98808,0.214258,3.781818,62.78046,0.253988,2.33504,2.40517,0.4142531,U.Asmari,net
A-18-00,855.753,44.0708,0.16,-9999,87.7224,157.9795,5,75.494,2.37419,0.209269,3.925474,68.04778,0.2595929,2.31084,2.96772,0.3639323,U.Asmari,net
A-18-00,855.905,44.101,-9999,-9999,86.9755,156.27,5,73.1188,3.49827,0.202451,4.073349,81.33583,0.2723279,2.27189,4.7817,0.2738344,U.Asmari,net
A-18-00,856.058,42.2873,-9999,0.309300003,86.765,154.3974,5,70.0502,4.50259,0.19935,4.115619,95.45657,0.284138,2.24253,6.55131,0.2250653,U.Asmari,net
A-18-00,856.21,39.8645,-9999,-9999,87.2366,154.2632,5,66.1035,4.76725,0.204965,4.031801,98.42186,0.2864356,2.24496,6.89379,0.2176474,U.Asmari,net
A-18-00,856.362,37.0537,-9999,0.243600006,88.3754,156.7762,5,60.1284,4.0607,0.218327,3.922747,87.72018,0.2778579,2.28303,5.33974,0.2506733,U.Asmari,net
A-18-00,856.515,33.2495,-9999,0.307600002,89.3678,159.9775,5,52.3789,2.84554,0.230165,3.910625,70.06738,0.2616502,2.34527,3.18855,0.3530323,U.Asmari,net
